,apps,assists,fouls_commited,fouls_suffered,goals,minutes,offsides,own_goals,penalties_in,penalties_mi,red_cards,yellow_cards
Bănel Nicoliţă,7,3,19,9,0,630,2,0,0,0,0,0
Cabral,3,0,6,2,0,270,0,0,0,0,0,0
Caca,2,1,4,6,0,180,0,0,0,0,0,0
Cacau,6,1,7,9,0,540,2,0,0,0,0,0
Cadú,9,0,9,9,0,810,0,0,0,0,0,0
Cafu,2,1,6,0,0,180,0,0,0,0,0,0
Cala,1,0,0,0,0,90,0,0,0,0,0,0
Calum Chambers,3,0,2,2,0,270,0,0,0,0,0,0
Camora,3,0,2,2,0,270,0,0,0,0,0,0
Cani,2,1,1,2,0,180,0,0,0,0,0,0
Carl Jenkinson,3,0,3,0,0,270,0,0,0,0,0,0
Carl Medjani,1,0,0,0,0,90,0,0,0,0,0,0
Carles Planas,1,0,0,0,0,90,0,0,0,0,0,0
Carles Puyol,21,0,23,33,0,1890,0,0,0,0,0,0
Carlitos,2,1,5,8,0,180,0,0,0,0,0,0
Carlo Cudicini,3,0,0,0,0,270,0,0,0,0,0,0
Carlos Bueno,1,0,0,0,0,90,2,0,0,0,0,0
Carlos Corrêa,4,2,3,7,0,360,0,0,0,0,0,0
Carlos Cuéllar,3,0,2,1,0,270,0,0,0,0,0,0
Carlos Delgado,1,0,2,2,0,90,0,0,0,0,0,0
Carlos Eduardo,1,0,1,0,0,90,1,0,0,0,0,0
Carlos Fernandes,2,0,0,0,0,180,0,0,0,0,0,0
Carlos Grossmüller,1,2,3,2,0,90,0,0,0,0,0,0
Carlos Gurpegi,2,0,2,4,0,180,0,0,0,0,0,0
Carlos Kameni,1,0,0,0,0,90,0,0,0,0,0,0
Carlos Mané,2,0,3,3,0,180,0,0,0,0,0,0
Carlos Marchena,5,0,16,10,0,450,0,0,0,0,0,0
Carlos Martins,4,5,5,6,0,360,0,0,0,0,0,0
Carlos Martínez,2,0,1,1,0,180,0,0,0,0,0,0
Carlos Paredes,1,0,0,0,0,90,0,0,0,0,0,0
Carlos Salcido,10,1,5,9,0,900,0,0,0,0,0,0
Carlos Tévez,18,3,22,26,0,1620,16,0,0,0,0,0
Carlos Vela,5,0,7,12,0,450,2,0,0,0,0,0
Carlão,3,0,4,2,0,270,0,0,0,0,0,0
Casemiro,5,0,13,11,0,450,0,0,0,0,0,0
Cesare Natali,1,0,2,1,0,90,0,0,0,0,0,0
Cesc Fàbregas,33,12,46,54,0,2970,7,0,0,0,0,0
Chancel Mbemba,5,0,3,3,0,450,0,0,0,0,0,0
Charles Kaboré,5,0,6,4,0,450,0,0,0,0,0,0
Charlie Adam,2,0,3,2,0,180,0,0,0,0,0,0
Charlie Mulgrew,7,1,7,2,0,630,0,0,0,0,0,0
Cheikhou Kouyaté,6,0,8,4,0,540,1,0,0,0,0,0
Chidi Odiah,2,0,6,6,0,180,0,0,0,0,0,0
Chinedu Obasi,1,1,0,2,0,90,0,0,0,0,0,0
Chris Löwe,1,0,2,2,0,90,0,0,0,0,0,0
Chris Smalling,6,0,5,3,0,540,2,0,0,0,0,0
Christer Basma,1,0,1,1,0,90,0,0,0,0,0,0
Christian Abbiati,15,0,1,2,0,1350,0,0,0,0,0,0
Christian Clemens,1,0,0,1,0,90,0,0,0,0,0,0
Christian Eriksen,6,5,5,2,0,540,0,0,0,0,0,0
Christian Fuchs,4,0,6,0,0,360,0,0,0,0,0,0
Christian Gentner,3,0,4,3,0,270,0,0,0,0,0,0
Christian Lell,4,1,8,4,0,360,1,0,0,0,0,0
Christian Maggio,6,0,12,6,0,540,0,0,0,0,0,0
Christian Noboa,6,0,11,7,0,540,0,0,0,0,0,0
Christian Pander,2,0,1,2,0,180,0,0,0,0,0,0
Christian Panucci,11,0,12,19,0,990,0,0,0,0,0,0
Christian Poulsen,9,0,15,10,0,810,1,0,0,0,0,0
Christian Schulz,2,0,3,2,0,180,0,0,0,0,0,0
Christian Träsch,4,0,4,2,0,360,0,0,0,0,0,0
Christian Vander,2,0,0,0,0,180,0,0,0,0,0,0
Christian Wilhelmsson,1,0,1,2,0,90,2,0,0,0,0,0
Christián Bolaños,4,1,2,3,0,360,0,0,0,0,0,0
Christoph Metzelder,8,0,17,6,0,720,0,0,0,0,0,0
Christoph Moritz,1,0,0,0,0,90,0,0,0,0,0,0
